datetime,open,high,low,close,volume
2022-07-13,145.89999,153.75,144.64999,151.64,52191832.0
2022-07-14,151.08,154.7299,147.28,153.72,45623484.0
2022-07-15,156.59,157.82001,154.45,157.62,38593548.0
2022-07-18,163.02,168.97,160.02,161.00999,67051744.0
2022-07-19,164.86,171.10001,161.72009,169.92,70236608.0
2022-07-20,169.47,179.325,168.00999,178.07001,76053776.0
2022-07-21,178.85001,181.44,175.4456,180.5,55704928.0
2022-07-22,178.92999,179.67,171.36501,173.19,53667088.0
2022-07-25,170.19,171.24001,166.49001,170.24001,48074752.0
2022-07-26,168.89,169.19,164.78,165.33,39786492.0
2022-07-27,170.32001,179.36,169.1301,177.89999,56977624.0
2022-07-28,179.75,181.39999,174.39999,179.84,47464628.0
2022-07-29,178.13,182.44,176.92,181.63,43546040.0
2022-08-01,181.82001,188.46001,179.89999,184.41,47646904.0
2022-08-02,181.22,189.37531,180.92,185.25999,48952692.0
2022-08-03,181.84,189.67999,181.37,188.92999,41814556.0
2022-08-04,188.49001,192.74001,187.60001,192.14999,40965228.0
2022-08-05,188.10001,192.2892,186.66,189.89,38606828.0
2022-08-08,175.02,182.39,172.42,177.92999,98378320.0
2022-08-09,172.52,174.47189,167.24001,170.86,66826264.0
2022-08-10,176.98,181.17999,173.1701,180.97,59742248.0
2022-08-11,181.31,187.07001,178.75999,179.42,50932656.0
2022-08-12,181.60001,187.17999,179.53,187.09,47809416.0
2022-08-15,187.00999,191.64,186.13,190.32001,45766556.0
2022-08-16,189.19501,191.42,185.00999,188.78999,45123964.0
2022-08-17,185.23,186.88,181.45,183.35001,44679912.0
2022-08-18,183.00999,188.6499,181.83,187.73,41544656.0
2022-08-19,184.06,185.2,177.7,178.49001,44158832.0
2022-08-22,174.89999,175.58,169.66,170.34,40959272.0
2022-08-23,169.88499,174.64999,169.7,171.81,36998576.0
2022-08-24,170.12,174.06,168.95,172.22,52266072.0
2022-08-25,168.44,179.47,168.33,179.13,77069136.0
2022-08-26,178.57001,179.24001,162.37,162.60001,76912744.0
2022-08-29,160.2,163.38,157.67,158.00999,49613192.0
2022-08-30,159.60001,160.39,151.82001,154.67999,53018068.0
2022-08-31,153.84,155.39999,149.5851,150.94,57370984.0
2022-09-01,142.09,143.8,132.7021,139.37,117886512.0
2022-09-02,141.0,141.71001,135.91,136.47,74315744.0
2022-09-06,137.31,137.78999,133.50999,134.64999,53575120.0
2022-09-07,135.63,138.38,133.46001,137.14,51265744.0
2022-09-08,134.59,140.08,133.69,139.89999,62487312.0
2022-09-09,141.57001,144.74001,141.25999,143.87,48712840.0
2022-09-12,143.69,145.47,141.98,145.05,48415924.0
2022-09-13,138.02,139.22,130.99001,131.31,71495560.0
2022-09-14,132.53999,132.8999,129.13,131.28,58850656.0
2022-09-15,130.15199,132.3299,127.9,129.28999,52362516.0
2022-09-16,127.415,132.12,126.17,131.98,67075140.0
2022-09-19,130.12,134.63,130.10001,133.82001,56968528.0
2022-09-20,132.145,134.82761,130.57001,131.75999,52481776.0
2022-09-21,132.13,140.31,131.10001,132.61,80767936.0
2022-09-22,130.7,131.4897,124.28,125.61,75916216.0
2022-09-23,124.2,126.11,122.57,125.16,66330932.0
2022-09-26,124.91,126.59,122.14,122.28,54734268.0
2022-09-27,125.07,127.36,122.58,124.13,55385408.0
2022-09-28,124.1,128.23,123.5386,127.36,54241388.0
2022-09-29,124.48,125.0,119.4601,122.2,53276312.0
2022-09-30,120.87,126.33,120.75,121.39,56563840.0
2022-10-03,123.47,126.78,121.05,125.12,54747848.0
2022-10-04,128.78999,132.2,128.78999,131.67,58418168.0
2022-10-05,129.10699,133.21001,126.21,132.09,50713072.0
2022-10-06,132.2,136.56,131.03,131.3,64415688.0
2022-10-07,125.05,126.7,120.22,120.76,67247816.0
2022-10-10,120.37,121.2432,114.0812,116.7,69869928.0
2022-10-11,115.61,118.46,112.83,115.86,66748164.0
2022-10-12,115.79,117.35,113.45,115.0,49259020.0
2022-10-13,109.71,120.7799,108.13,119.6,85010304.0
2022-10-14,120.57,121.11,112.04,112.27,71343200.0
2022-10-17,115.18,119.48,115.17,118.88,58077416.0
2022-10-18,123.44,124.92,116.18,119.67,65936208.0
2022-10-19,118.79,123.5,118.34,120.51,52313060.0
2022-10-20,121.13,127.69,121.05,121.94,65239760.0
2022-10-21,120.982,124.98,118.87,124.66,60949440.0
2022-10-24,125.08,127.1,120.64,125.99,51745740.0
2022-10-25,126.935,133.0,126.64,132.61,50548232.0
2022-10-26,128.69,133.88,127.08,128.96001,53553328.0
2022-10-27,136.3,138.38,131.22,131.75999,58311308.0
2022-10-28,131.03999,138.5,130.61,138.34,52103992.0
2022-10-31,137.78,138.38,132.97,134.97,48634100.0
2022-11-01,138.11,139.25,135.19,135.42999,43281688.0
2022-11-02,138.5,142.10001,132.1124,132.19,67262784.0
2022-11-03,130.42999,137.81,129.56,134.21001,50006488.0
2022-11-04,139.86,142.28999,136.97,141.56,61257592.0
2022-11-07,142.28,144.12,139.53999,143.00999,41006096.0
2022-11-08,148.00999,148.9101,142.16,146.02,59529200.0
2022-11-09,141.61501,142.11,137.5901,137.75999,45441368.0
2022-11-10,148.0,157.73,145.47,157.5,70081928.0
2022-11-11,158.075,163.89,154.82001,163.27,65548748.0
2022-11-14,162.17999,165.39999,159.22,162.95,52785244.0
2022-11-15,167.215,169.98,163.82001,166.66,54587552.0
2022-11-16,161.61501,163.62,158.73,159.10001,64954684.0
2022-11-17,157.14999,162.66,155.35001,156.77,71089360.0
2022-11-18,159.66,160.02,151.2001,154.09,49207164.0
2022-11-21,151.47,154.77,150.8,153.17,40473932.0
2022-11-22,153.28,160.5757,151.216,160.38,47286608.0
2022-11-23,160.98,165.27,160.4801,165.19,42724092.0
